,,2020,2030,2040,2050
generators,CCGT,17951936226.769062,0.0,0.0,0.0
generators,biomass,4926413952.647101,0.0,0.0,0.0
generators,coal,0.0,0.0,0.0,0.0
generators,gas,0.0,0.0,0.0,0.0
generators,lignite,11875486819.352457,0.0,0.0,0.0
generators,nuclear,81335653561.63641,0.0,0.0,0.0
generators,offwind-ac,2555320935.7639327,9568303244.887102,10341280429.051916,16960325379.532295
generators,offwind-dc,4061305457.6950126,12092996694.22788,20414515839.423557,24317155619.780113
generators,oil,0.0,0.0,0.0,0.0
generators,onwind,23494304531.917667,45301796004.90394,92386572351.23474,115577548915.31908
generators,ror,13714386966.089853,13714386966.089853,13714386966.089853,13714386966.089853
generators,solar,10485711984.530813,22517344519.138145,39604116131.233925,54912375476.270706
generators,solar rooftop,0.0,18844383398.33875,36680613622.81089,52988956790.76059
generators,solid biomass,0.0,0.0,0.0,0.0
lines,AC,2122252470.4796002,2469839521.328811,3185084777.354658,3560206494.5748696
links,CCGT,0.0,16774128119.96214,12862603522.108854,4271871610.3500705
links,DC,1079796390.8430626,4767822193.302663,6994977520.716639,9667740418.846392
links,Fischer-Tropsch,8429.623977658259,31149.609940206476,966745676.2387365,1416302649.5930955
links,H2 Electrolysis,12834.003657758165,482088812.6061898,7115570663.103111,20352826235.946945
links,OCGT,0.0,150236849.15436688,1815798996.9299576,1815160362.2105901
links,SMR,985167505.632589,4324830343.688388,9016066978.115555,9016082747.97428
links,agriculture machinery oil,0.0,0.0,0.0,0.0
links,battery charger,38594452.61306732,20924447.733681004,1434337245.9971378,2066518682.3059273
links,battery discharger,0.0,0.0,0.0,0.0
links,biogas to gas,0.0,74912.97092125395,2274677.238460055,29201.375219759808
links,co2 sequestered,0.0,0.0,0.0,0.0
links,coal for industry,0.0,0.0,0.0,0.0
links,electricity distribution grid,20254683327.48343,19322685824.701294,23656119947.34913,24483812968.05675
links,gas for industry,0.0,0.0,0.0,0.0
links,gas for industry CC,0.0,918239601.3437312,950571500.4826971,1367717779.8804302
links,gas pipeline,722878591.4291475,12786765.53123064,8345826.136864772,11234848.818253761
links,gas pipeline new,138053869.3431527,215791862.26078922,295167219.48140854,298996562.49770325
links,home battery charger,25664518.80628529,195765.8659320766,8594925.755924169,124351313.79163355
links,home battery discharger,0.0,0.0,0.0,0.0
links,kerosene for aviation,0.0,0.0,0.0,0.0
links,land transport oil,0.0,0.0,0.0,0.0
links,naphtha for industry,0.0,0.0,0.0,0.0
links,process emissions,0.0,0.0,0.0,0.0
links,process emissions CC,32670.32108122968,1474245124.9722888,3142367014.938798,3265962917.9521575
links,residential rural air heat pump,0.0,213327.47239277704,4287662.228024397,4116449.0915249037
links,residential rural biomass boiler,2021423114.089292,717526973.9710027,772593241.1441374,772636686.3989142
links,residential rural gas boiler,6389656399.05277,7475563937.723098,7588124135.187743,7588162106.823372
links,residential rural ground heat pump,0.0,7794577138.822478,15690483726.620077,16958077913.075266
links,residential rural oil boiler,3760389762.3486547,478027807.2955692,0.0,0.0
links,residential rural resistive heater,242972150.85990736,615901498.0689613,648566891.5351576,648694622.3592752
