,,2020,2030,2040,2050
generators,CCGT,17951936226.769062,0.0,0.0,0.0
generators,biomass,4926413952.647101,0.0,0.0,0.0
generators,coal,0.0,0.0,0.0,0.0
generators,gas,0.0,0.0,0.0,0.0
generators,lignite,11875486819.352457,0.0,0.0,0.0
generators,nuclear,81335653561.63641,0.0,0.0,0.0
generators,offwind-ac,2555320935.7639327,9568303244.887102,10341280429.051916,16960325379.532295
generators,offwind-dc,4061305457.6950126,12092996694.22788,20414515839.423557,24317155619.780113
generators,oil,0.0,0.0,0.0,0.0
generators,onwind,23494304531.917667,45301796004.90394,92386572351.23474,115577548915.31908
generators,ror,13714386966.089853,13714386966.089853,13714386966.089853,13714386966.089853
generators,solar,10485711984.530813,22517344519.138145,39604116131.233925,54912375476.270706
generators,solar rooftop,0.0,18844383398.33875,36680613622.81089,52988956790.76059
generators,solid biomass,0.0,0.0,0.0,0.0

lines,AC,2122252470.4796002,2469839521.328811,3185084777.354658,3560206494.5748696
links,CCGT,0.0,16774128119.96214,12862603522.108854,4271871610.3500705
links,DC,1079796390.8430626,4767822193.302663,6994977520.716639,9667740418.846392
links,electricity distribution grid,20254683327.48343,19322685824.701294,23656119947.34913,24483812968.05675

storage_units,PHS,9770741662.97982,9770741662.97982,9770741662.97982,9770741662.97982
storage_units,hydro,17532749323.366215,17532749323.366215,17532749323.366215,17532749323.366215
stores,H2,11691.613470706838,50637370.166432224,463439800.2490619,1901940279.1281476
stores,battery,429865449.7865022,75447821.51041842,5847297606.740947,8617205503.676231
stores,co2,0.0,0.0,0.0,0.0
stores,co2 sequestered,11943.182701324919,1295170675.125729,2157976185.3997903,2476422340.151655
stores,co2 stored,19626.940985433503,1146222.3994553876,8703268.120586282,3253852.2745352136
stores,coal,85131073.76234819,70537556.98283583,77701902.39577296,64560063.820587054
stores,gas,4862080869.081739,4607336493.667466,5128467689.176055,4604145777.352412
stores,home battery,16076225.244986083,234691.60888975987,22994846.507773317,528527000.6369633
stores,oil,2052008113.8988922,2350106770.980663,2486510035.71945,2066523150.8542747
stores,solid biomass,0.0,0.0,0.0,0.0
stores,Li ion,0.0,0.0,0.0,0.0
stores,NH3,0.0,876976.701617533,55042970.42761983,234343825.82149485
stores,biogas,0.0,0.0,0.0,0.0
stores,lignite,0.0,70540779.51514134,77696770.06446457,64558601.36429118
stores,methanol,0.0,0.0,0.0,0.0
stores,residential rural water tanks,0.0,431272663.43644655,547621250.8065633,554969007.1511741
stores,residential urban decentral water tanks,0.0,1209554760.8037305,1450531706.233478,1453942830.9240668
stores,services rural water tanks,0.0,159743762.63204056,213135946.39498594,217385111.3920216
stores,services urban decentral water tanks,0.0,455005241.5352397,543930522.3101418,544222840.7011913
stores,uranium,0.0,70539631.94454814,77700868.6763095,64566116.676157035
stores,urban central water tanks,0.0,156190811.03416407,817316951.4920914,965137497.6522645
