,2020,2030,2040,2050
Solar,68819.86373582856,52359.07912260137,49531.32903821921,47642.856955087256
ROR,308170.3719034552,308170.3719034552,308170.3719034552,308170.3719034552
Wind (Onshore),127659.8917197596,115719.822257147,112371.45245939837,110830.27222130976
Wind (Offshore),524756.0006714857,438125.63467258745,436976.46319246135,429072.1462596402
AC Lines,23713.32104689005,23025.38659701798,22679.017917122743,22289.405679620853
DC Lines,26348.06478071013,32247.504671044386,32430.689077196424,32673.2114865489
Distrib Grid,50270.361476727056,50270.361476727056,50270.36147672705,50270.361476727056
PHS,182698.73459185107,182698.73459185107,182698.73459185107,182698.73459185107
Hydro,182698.73459185107,182698.73459185107,182698.73459185107,182698.73459185107
Battery,23174.161777619767,12894.531896456368,8055.478739752555,7435.317182584999
