,,2020,2030,2040,2050
generators,CCGT,110915.22632898655,0.0,0.0,0.0
generators,biomass,294201.0511702543,0.0,0.0,0.0
generators,coal,0.0,0.0,0.0,0.0
generators,gas,0.0,0.0,0.0,0.0
generators,lignite,337208.02744802914,0.0,0.0,0.0
generators,nuclear,753784.2152972104,0.0,0.0,0.0
generators,offwind-ac,249810.81121991767,205135.84798209497,204335.0597322706,198758.52869098698
generators,offwind-dc,274945.18945156795,232989.78669049247,232641.40346019075,230313.61756865328
generators,oil,0.0,0.0,0.0,0.0
generators,onwind,127659.89171975959,115719.82225714701,112371.45245939837,110830.27222130976
generators,ror,308170.3719034552,308170.3719034552,308170.3719034552,308170.3719034552
generators,solar,68819.86373582856,52359.07912260137,49531.32903821921,47642.856955087256
generators,solar rooftop,0.0,45519.755319603464,41704.49394927439,39361.749974918515
generators,solid biomass,0.0,0.0,0.0,0.0
lines,AC,23713.32104689005,23025.38659701798,22679.017917122746,22289.405679620853
links,CCGT,0.0,60777.05205432785,60766.38323183273,60744.93618205002
links,DC,26348.06478071013,32247.504671044382,32430.689077196424,32673.2114865489
links,Fischer-Tropsch,81411.14876354061,69943.33466101172,60800.33356713709,57566.03281112622
links,H2 Electrolysis,150972.62066479874,69195.78447136609,54305.66913921582,42247.91195983585
links,OCGT,0.0,19564.65493111743,19527.336420239004,19527.32159298188
links,SMR,68192.35692475682,68192.35692475682,68192.35692475681,68192.35692475682
links,agriculture machinery oil,0.0,0.0,0.0,0.0
links,battery charger,41251.51120376209,24678.15787553511,15722.158271599194,13051.709987953676
links,battery discharger,0.0,0.0,0.0,0.0
links,biogas to gas,0.0,209515.79321695748,195954.72388595357,182470.11729253174
links,co2 sequestered,0.0,0.0,0.0,0.0
links,coal for industry,0.0,0.0,0.0,0.0
links,electricity distribution grid,50270.361476727056,50270.361476727056,50270.36147672705,50270.361476727056
links,gas for industry,0.0,0.0,0.0,0.0
links,gas for industry CC,0.0,59619.25426519866,59252.82278134582,52304.421894019695
links,gas pipeline,3125.825104309622,80.31670918347216,90.497358461984,78.22890726760778
links,gas pipeline new,3349.6311621996165,3544.898813065084,3799.09822177823,3848.1424998519365
links,home battery charger,57599.346962081036,35175.573777465914,22792.790636197202,14374.698735978374
links,home battery discharger,0.0,0.0,0.0,0.0
links,kerosene for aviation,0.0,0.0,0.0,0.0
links,land transport oil,0.0,0.0,0.0,0.0
