Year,Solar,ROR,Wind (Onshore),Wind (Offshore),AC Lines,DC Lines,Distrib Grid,PHS,Hydro,Battery
1995,109971.82526889656,308170.3719034552,157510.0653762911,741331.9156687313,25433.15717157023,11599.465054874492,50270.361476727056,182698.73459185107,182698.73459185107,48873.23648052826
1996,108325.74680757383,308170.3719034552,156316.05843002987,732668.8790688415,25364.363726583022,12189.40904390792,50270.361476727056,182698.73459185107,182698.73459185107,47845.27349241192
1997,106679.66834625111,308170.3719034552,155122.0514837686,724005.8424689516,25295.570281595814,12779.353032941344,50270.361476727056,182698.73459185107,182698.73459185107,46817.31050429559
1998,105033.5898849284,308170.3719034552,153928.04453750735,715342.8058690617,25226.776836608606,13369.29702197477,50270.361476727056,182698.73459185107,182698.73459185107,45789.347516179245
1999,103387.51142360567,308170.3719034552,152734.03759124607,706679.769269172,25157.9833916214,13959.241011008195,50270.361476727056,182698.73459185107,182698.73459185107,44761.3845280629
2000,101741.43296228295,308170.3719034552,151540.0306449848,698016.7326692821,25089.189946634193,14549.18500004162,50270.361476727056,182698.73459185107,182698.73459185107,43733.42153994656
2001,100095.35450096024,308170.3719034552,150346.02369872355,689353.6960693924,25020.396501646985,15139.128989075045,50270.361476727056,182698.73459185107,182698.73459185107,42705.45855183022
2002,98449.27603963751,308170.3719034552,149152.01675246228,680690.6594695025,24951.60305665978,15729.072978108472,50270.361476727056,182698.73459185107,182698.73459185107,41677.495563713885
2003,96803.1975783148,308170.3719034552,147958.00980620104,672027.6228696126,24882.809611672572,16319.016967141897,50270.361476727056,182698.73459185107,182698.73459185107,40649.53257559754
2004,95157.11911699208,308170.3719034552,146764.00285993976,663364.5862697228,24814.016166685364,16908.960956175324,50270.361476727056,182698.73459185107,182698.73459185107,39621.56958748121
2005,93511.04065566935,308170.3719034552,145569.99591367852,654701.549669833,24745.222721698156,17498.90494520875,50270.361476727056,182698.73459185107,182698.73459185107,38593.606599364866
2006,91864.96219434663,308170.3719034552,144375.98896741724,646038.5130699432,24676.42927671095,18088.848934242174,50270.361476727056,182698.73459185107,182698.73459185107,37565.643611248524
2007,90218.88373302392,308170.3719034552,143181.982021156,637375.4764700534,24607.635831723743,18678.7929232756,50270.361476727056,182698.73459185107,182698.73459185107,36537.68062313218
2008,88572.80527170119,308170.3719034552,141987.97507489473,628712.4398701636,24538.842386736535,19268.736912309025,50270.361476727056,182698.73459185107,182698.73459185107,35509.71763501584
2009,86926.72681037847,308170.3719034552,140793.96812863345,620049.4032702737,24470.04894174933,19858.68090134245,50270.361476727056,182698.73459185107,182698.73459185107,34481.754646899506
2010,85280.64834905576,308170.3719034552,139599.9611823722,611386.3666703838,24401.25549676212,20448.624890375875,50270.361476727056,182698.73459185107,182698.73459185107,33453.791658783164
2011,83634.56988773304,308170.3719034552,138405.95423611093,602723.3300704941,24332.462051774914,21038.5688794093,50270.361476727056,182698.73459185107,182698.73459185107,32425.828670666826
2012,81988.49142641031,308170.3719034552,137211.9472898497,594060.2934706042,24263.66860678771,21628.512868442725,50270.361476727056,182698.73459185107,182698.73459185107,31397.865682550488
2013,80342.4129650876,308170.3719034552,136017.94034358842,585397.2568707145,24194.8751618005,22218.45685747615,50270.361476727056,182698.73459185107,182698.73459185107,30369.902694434146
2014,78696.33450376488,308170.3719034552,134823.93339732717,576734.2202708246,24126.081716813293,22808.400846509576,50270.361476727056,182698.73459185107,182698.73459185107,29341.939706317804
2015,77050.25604244217,308170.3719034552,133629.9264510659,568071.1836709348,24057.288271826088,23398.344835543,50270.361476727056,182698.73459185107,182698.73459185107,28313.976718201466
2016,75404.17758111944,308170.3719034552,132435.91950480465,559408.147071045,23988.49482683888,23988.28882457643,50270.361476727056,182698.73459185107,182698.73459185107,27286.013730085127
2017,73758.09911979672,308170.3719034552,131241.91255854338,550745.1104711551,23919.70138185167,24578.232813609855,50270.361476727056,182698.73459185107,182698.73459185107,26258.050741968786
2018,72112.02065847401,308170.3719034552,130047.90561228212,542082.0738712653,23850.907936864463,25168.17680264328,50270.361476727056,182698.73459185107,182698.73459185107,25230.087753852447
2019,70465.94219715128,308170.3719034552,128853.89866602086,533419.0372713755,23782.11449187726,25758.120791676705,50270.361476727056,182698.73459185107,182698.73459185107,24202.124765736105
2020,68819.86373582856,308170.3719034552,127659.8917197596,524756.0006714857,23713.32104689005,26348.06478071013,50270.361476727056,182698.73459185107,182698.73459185107,23174.161777619767
2021,67173.78527450585,308170.3719034552,126465.88477349834,516092.96407159587,23644.527601902842,26938.008769743556,50270.361476727056,182698.73459185107,182698.73459185107,22146.19878950343
2022,65527.706813183126,308170.3719034552,125271.87782723708,507429.927471706,23575.734156915638,27527.95275877698,50270.361476727056,182698.73459185107,182698.73459185107,21118.235801387087
2023,63881.6283518604,308170.3719034552,124077.87088097582,498766.8908718162,23506.94071192843,28117.896747810406,50270.361476727056,182698.73459185107,182698.73459185107,20090.27281327075
2024,62235.54989053769,308170.3719034552,122883.86393471457,490103.8542719264,23438.14726694122,28707.84073684383,50270.361476727056,182698.73459185107,182698.73459185107,19062.309825154407
2025,60589.471429214966,308170.3719034552,121689.8569884533,481440.8176720366,23369.353821954013,29297.78472587726,50270.361476727056,182698.73459185107,182698.73459185107,18034.34683703807
2026,58943.39296789224,308170.3719034552,120495.85004219203,472777.7810721467,23300.56037696681,29887.728714910685,50270.361476727056,182698.73459185107,182698.73459185107,17006.38384892173
2027,57297.31450656953,308170.3719034552,119301.84309593077,464114.7444722569,23231.7669319796,30477.67270394411,50270.361476727056,182698.73459185107,182698.73459185107,15978.420860805389
2028,55651.236045246806,308170.3719034552,118107.83614966951,455451.7078723671,23162.973486992392,31067.616692977535,50270.361476727056,182698.73459185107,182698.73459185107,14950.457872689049
2029,54005.15758392409,308170.3719034552,116913.82920340826,446788.67127247725,23094.180042005188,31657.56068201096,50270.361476727056,182698.73459185107,182698.73459185107,13922.494884572709
2030,52359.07912260137,308170.3719034552,115719.822257147,438125.63467258745,23025.38659701798,32247.504671044386,50270.361476727056,182698.73459185107,182698.73459185107,12894.531896456368
2031,52076.304114163155,308170.3719034552,115384.98527737214,438010.71752457484,22990.749729028455,32265.82311165959,50270.361476727056,182698.73459185107,182698.73459185107,12410.626580785987
2032,51793.529105724934,308170.3719034552,115050.14829759728,437895.8003765622,22956.11286103893,32284.141552274792,50270.361476727056,182698.73459185107,182698.73459185107,11926.721265115606
2033,51510.75409728672,308170.3719034552,114715.3113178224,437780.8832285496,22921.475993049407,32302.45999289,50270.361476727056,182698.73459185107,182698.73459185107,11442.815949445225
2034,51227.97908884851,308170.3719034552,114380.47433804754,437665.966080537,22886.839125059883,32320.778433505202,50270.361476727056,182698.73459185107,182698.73459185107,10958.910633774844
2035,50945.20408041029,308170.3719034552,114045.63735827268,437551.0489325244,22852.202257070363,32339.096874120405,50270.36147672705,182698.73459185107,182698.73459185107,10475.005318104462
2036,50662.429071972074,308170.3719034552,113710.80037849782,437436.1317845118,22817.56538908084,32357.41531473561,50270.36147672705,182698.73459185107,182698.73459185107,9991.10000243408
2037,50379.65406353386,308170.3719034552,113375.96339872296,437321.2146364992,22782.928521091315,32375.73375535081,50270.36147672705,182698.73459185107,182698.73459185107,9507.194686763698
2038,50096.87905509565,308170.3719034552,113041.12641894809,437206.29748848657,22748.29165310179,32394.05219596602,50270.36147672705,182698.73459185107,182698.73459185107,9023.289371093317
2039,49814.10404665743,308170.3719034552,112706.28943917323,437091.38034047396,22713.654785112267,32412.37063658122,50270.36147672705,182698.73459185107,182698.73459185107,8539.384055422935
2040,49531.32903821921,308170.3719034552,112371.45245939837,436976.46319246135,22679.017917122743,32430.689077196424,50270.36147672705,182698.73459185107,182698.73459185107,8055.478739752555
