Year,Distrib Grid,AC Lines,DC Lines,Solar,ROR,Wind (Onshore),Wind (Offshore),PHS,Hydro,Battery
1995,0.39744568837385275,0.03531849909437655,0.0,0.0,0.26014440230473945,0.13585359174024383,0.0,0.18533848842640602,0.3325738587341568,0.013188954939493451
1996,0.3892272802100985,0.034710396086355,0.0,0.0,0.2549383386557761,0.13932714681951863,0.0,0.18162945621659415,0.3259183218046203,0.012824377175067202
1997,0.38100887204634426,0.03410229307833345,0.0,0.0,0.24973227500681267,0.1428007018987934,0.0,0.17792042400678226,0.31926278487508386,0.01245979941064095
1998,0.37279046388258996,0.0334941900703119,0.0,0.0,0.24452621135784924,0.1462742569780682,0.0,0.17421139179697037,0.3126072479455474,0.012095221646214701
1999,0.36457205571883566,0.03288608706229035,0.0,0.0,0.23932014770888582,0.149747812057343,0.0,0.17050235958715848,0.30595171101601093,0.01173064388178845
2000,0.3563536475550814,0.0322779840542688,0.0,0.0,0.2341140840599224,0.15322136713661777,0.0,0.16679332737734662,0.2992961740864744,0.011366066117362201
2001,0.3481352393913272,0.03166988104624725,0.0,0.0,0.22890802041095898,0.15669492221589254,0.0,0.16308429516753475,0.29264063715693794,0.011001488352935952
2002,0.3399168312275729,0.0310617780382257,0.0,0.0,0.22370195676199556,0.16016847729516737,0.0,0.15937526295772286,0.2859851002274014,0.010636910588509702
2003,0.3316984230638186,0.03045367503020415,0.0,0.0,0.21849589311303214,0.16364203237444214,0.0,0.15566623074791097,0.27932956329786496,0.010272332824083451
2004,0.32348001490006434,0.0298455720221826,0.0,0.0,0.21328982946406871,0.1671155874537169,0.0,0.15195719853809908,0.2726740263683285,0.0099077550596572
2005,0.3152616067363101,0.02923746901416105,0.0,0.0,0.2080837658151053,0.1705891425329917,0.0,0.14824816632828722,0.266018489438792,0.00954317729523095
2006,0.3070431985725558,0.028629366006139502,0.0,0.0,0.20287770216614187,0.1740626976122665,0.0,0.14453913411847533,0.25936295250925556,0.009178599530804701
2007,0.2988247904088015,0.02802126299811795,0.0,0.0,0.19767163851717845,0.17753625269154127,0.0,0.14083010190866346,0.25270741557971904,0.008814021766378452
2008,0.29060638224504726,0.0274131599900964,0.0,0.0,0.19246557486821503,0.18100980777081607,0.0,0.13712106969885157,0.24605187865018258,0.008449444001952201
2009,0.282387974081293,0.02680505698207485,0.0,0.0,0.1872595112192516,0.18448336285009087,0.0,0.13341203748903968,0.23939634172064608,0.00808486623752595
2010,0.2741695659175387,0.0261969539740533,0.0,0.0,0.18205344757028818,0.18795691792936564,0.0023417394352519133,0.12970300527922782,0.2327408047911096,0.0077202884730997005
2011,0.2659511577537844,0.02558885096603175,0.0,0.0,0.17684738392132476,0.19143047300864044,0.008379182785907581,0.12599397306941593,0.22608526786157312,0.007355710708673451
2012,0.2577327495900302,0.0249807479580102,0.0,0.0,0.17164132027236134,0.1949040280879152,0.014416626136563249,0.12228494085960405,0.21942973093203666,0.0069911329442472
2013,0.2495143414262759,0.02437264494998865,0.0,0.004435314543901975,0.16643525662339792,0.19837758316719,0.020454069487218916,0.11857590864979217,0.21277419400250017,0.006626555179820951
2014,0.24129593326252163,0.0237645419419671,0.0001199600271103423,0.018000209781287968,0.16122919297443453,0.20185113824646478,0.026491512837874584,0.11486687643998028,0.20611865707296367,0.006261977415394701
2015,0.23307752509876736,0.02315643893394555,0.0018057880843077526,0.03156510501867395,0.1560231293254711,0.20532469332573958,0.03252895618853026,0.1111578442301684,0.1994631201434272,0.00589739965096845
2016,0.2248591169350131,0.022548335925924,0.003491616141505162,0.04513000025605994,0.15081706567650768,0.20879824840501437,0.038566399539185926,0.10744881202035653,0.19280758321389072,0.0055328218865422
2017,0.21664070877125882,0.02194023291790245,0.0051774441987025716,0.058694895493445934,0.14561100202754426,0.21227180348428915,0.044603842889841594,0.10373977981054465,0.18615204628435425,0.00516824412211595
2018,0.20842230060750455,0.021332129909880898,0.006863272255899982,0.07225979073083191,0.14040493837858084,0.21574535856356394,0.05064128624049727,0.10003074760073277,0.17949650935481776,0.004803666357689701
2019,0.20020389244375028,0.02072402690185935,0.00854910031309739,0.0858246859682179,0.13519887472961742,0.21921891364283871,0.056678729591152936,0.09632171539092088,0.1728409724252813,0.00443908859326345
2020,0.191985484279996,0.0201159238938378,0.0102349283702948,0.0993895812056039,0.129992811080654,0.2226924687221135,0.0627161729418086,0.092612683181109,0.1661854354957448,0.0040745108288372
2021,0.18376707611624174,0.01950782088581625,0.011920756427492211,0.11295447644298989,0.12478674743169058,0.2261660238013883,0.06875361629246428,0.08890365097129713,0.1595298985662083,0.00370993306441095
2022,0.17554866795248747,0.0188997178777947,0.01360658448468962,0.12651937168037589,0.11958068378272715,0.22963957888066308,0.07479105964311994,0.08519461876148524,0.15287436163667184,0.0033453552999847002
2023,0.1673302597887332,0.01829161486977315,0.01529241254188703,0.14008426691776188,0.11437462013376373,0.23311313395993788,0.08082850299377561,0.08148558655167336,0.14621882470713535,0.00298077753555845
2024,0.15911185162497893,0.0176835118617516,0.01697824059908444,0.15364916215514784,0.10916855648480031,0.23658668903921265,0.08686594634443129,0.07777655434186148,0.13956328777759888,0.0026161997711322002
2025,0.15089344346122466,0.01707540885373005,0.018664068656281847,0.16721405739253387,0.10396249283583689,0.24006024411848745,0.09290338969508695,0.0740675221320496,0.1329077508480624,0.00225162200670595
2026,0.1426750352974704,0.016467305845708498,0.02034989671347926,0.18077895262991983,0.09875642918687348,0.24353379919776225,0.09894083304574262,0.07035848992223773,0.12625221391852592,0.0018870442422796998
2027,0.13445662713371612,0.01585920283768695,0.022035724770676668,0.19434384786730582,0.09355036553791006,0.24700735427703702,0.10497827639639828,0.06664945771242584,0.11959667698898943,0.00152246647785345
2028,0.12623821896996185,0.0152510998296654,0.023721552827874078,0.20790874310469182,0.08834430188894664,0.2504809093563118,0.11101571974705396,0.06294042550261396,0.11294114005945295,0.0011578887134271998
2029,0.11801981080620758,0.014642996821643849,0.02540738088507149,0.2214736383420778,0.08313823823998322,0.2539544644355866,0.11705316309770963,0.05923139329280208,0.10628560312991647,0.0007933109490009496
2030,0.1098014026424533,0.0140348938136223,0.027093208942268895,0.2350385335794638,0.0779321745910198,0.2574280195148614,0.1230906064483653,0.0555223610829902,0.09963006620038,0.00042873318457469986
2031,0.10726600243427986,0.013768413082079909,0.02688094872375682,0.2387667332570276,0.07503470644392565,0.2646652916378256,0.12176072181729791,0.05345807539439398,0.0959258843932712,0.0024732228161411596
2032,0.10473060222610642,0.01350193235053752,0.026668688505244738,0.24249493293459143,0.0721372382968315,0.2719025637607898,0.12043083718623053,0.051393789705797756,0.0922217025861624,0.004517712447707619
2033,0.10219520201793299,0.01323545161899513,0.02645642828673266,0.24622313261215523,0.06923977014973734,0.27913983588375396,0.11910095255516316,0.049329504017201535,0.0885175207790536,0.006562202079274079
2034,0.09965980180975954,0.01296897088745274,0.02624416806822058,0.24995133228971905,0.0663423020026432,0.2863771080067182,0.11777106792409578,0.04726521832860532,0.0848133389719448,0.008606691710840539
2035,0.0971244016015861,0.012702490155910351,0.026031907849708498,0.2536795319672829,0.06344483385554905,0.2936143801296824,0.1164411832930284,0.0452009326400091,0.081109157164836,0.010651181342406998
2036,0.09458900139341266,0.01243600942436796,0.02581964763119642,0.25740773164484665,0.0605473657084549,0.3008516522526466,0.11511129866196101,0.04313664695141288,0.0774049753577272,0.012695670973973458
2037,0.09205360118523921,0.01216952869282557,0.02560738741268434,0.2611359313224105,0.05764989756136075,0.3080889243756108,0.11378141403089363,0.04107236126281666,0.0737007935506184,0.014740160605539919
2038,0.08951820097706578,0.011903047961283181,0.02539512719417226,0.2648641309999743,0.0547524294142666,0.31532619649857496,0.11245152939982626,0.03900807557422044,0.0699966117435096,0.016784650237106378
2039,0.08698280076889234,0.011636567229740791,0.02518286697566018,0.26859233067753807,0.05185496126717245,0.3225634686215392,0.11112164476875888,0.03694378988562422,0.0662924299364008,0.018829139868672837
2040,0.0844474005607189,0.0113700864981984,0.0249706067571481,0.2723205303551019,0.0489574931200783,0.3298007407445034,0.1097917601376915,0.034879504197028,0.062588248129292,0.020873629500239296
2041,0.08295625041359146,0.01124420368840735,0.02521925820995231,0.27573327991600866,0.04795673446737588,0.32964557343137457,0.11053570403657402,0.03416651904598009,0.0613088580526954,0.021233618738040038
2042,0.08146510026646403,0.0111183208786163,0.02546790966275652,0.2791460294769154,0.04695597581467346,0.32949040611824576,0.11127964793545654,0.03345353389493218,0.06002946797609879,0.02159360797584078
2043,0.07997395011933661,0.010992438068825251,0.02571656111556073,0.28255877903782217,0.04595521716197104,0.32933523880511695,0.11202359183433906,0.03274054874388427,0.05875007789950217,0.02195359721364152
2044,0.07848279997220918,0.0108665552590342,0.02596521256836494,0.28597152859872893,0.044954458509268616,0.32918007149198814,0.11276753573322158,0.03202756359283636,0.05747068782290556,0.02231358645144226
2045,0.07699164982508175,0.01074067244924315,0.02621386402116915,0.28938427815963563,0.0439536998565662,0.3290249041788593,0.11351147963210409,0.03131457844178845,0.05619129774630895,0.022673575689242997
2046,0.07550049967795432,0.0106147896394521,0.02646251547397336,0.2927970277205424,0.04295294120386378,0.32886973686573046,0.11425542353098661,0.03060159329074054,0.054911907669712344,0.02303356492704374
2047,0.07400934953082688,0.010488906829661051,0.02671116692677757,0.29620977728144915,0.04195218255116136,0.32871456955260164,0.11499936742986913,0.02988860813969263,0.053632517593115735,0.02339355416484448
2048,0.07251819938369947,0.01036302401987,0.02695981837958178,0.2996225268423559,0.04095142389845894,0.32855940223947283,0.11574331132875165,0.02917562298864472,0.05235312751651912,0.023753543402645218
2049,0.07102704923657203,0.010237141210078949,0.02720846983238599,0.30303527640326267,0.039950665245756516,0.328404234926344,0.11648725522763417,0.02846263783759681,0.05107373743992251,0.02411353264044596
2050,0.0695358990894446,0.0101112584002879,0.0274571212851902,0.3064480259641694,0.0389499065930541,0.3282490676132152,0.1172311991265167,0.0277496526865489,0.0497943473633259,0.0244735218782467
