Entity,Code,Year,Consumer price index (2010 = 100)
United States,USA,1960,13.563061
United States,USA,1961,13.708283
United States,USA,1962,13.872615
United States,USA,1963,14.04459
United States,USA,1964,14.224208
United States,USA,1965,14.449685
United States,USA,1966,14.885354
United States,USA,1967,15.298093
United States,USA,1968,15.951596
United States,USA,1969,16.822935
United States,USA,1970,17.8051
United States,USA,1971,18.569431
United States,USA,1972,19.177074
United States,USA,1973,20.361788
United States,USA,1974,22.612745
United States,USA,1975,24.680262
United States,USA,1976,26.098095
United States,USA,1977,27.794912
United States,USA,1978,29.915932
United States,USA,1979,33.28281
United States,USA,1980,37.792366
United States,USA,1981,41.6981
United States,USA,1982,44.254787
United States,USA,1983,45.676445
United States,USA,1984,47.640778
United States,USA,1985,49.32995
United States,USA,1986,50.266254
United States,USA,1987,52.10829
United States,USA,1988,54.233135
United States,USA,1989,56.85097
United States,USA,1990,59.91976
United States,USA,1991,62.45734
United States,USA,1992,64.34906
United States,USA,1993,66.24842
United States,USA,1994,67.975815
United States,USA,1995,69.88282
United States,USA,1996,71.93123
United States,USA,1997,73.612755
United States,USA,1998,74.75543
United States,USA,1999,76.391106
United States,USA,2000,78.97072
United States,USA,2001,81.20257
United States,USA,2002,82.49046
United States,USA,2003,84.363075
United States,USA,2004,86.62168
United States,USA,2005,89.56053
United States,USA,2006,92.44971
United States,USA,2007,95.08699
United States,USA,2008,98.73748
United States,USA,2009,98.38642
United States,USA,2010,100
United States,USA,2011,103.156845
United States,USA,2012,105.291504
United States,USA,2013,106.83385
United States,USA,2014,108.56693
United States,USA,2015,108.695724
United States,USA,2016,110.06701
United States,USA,2017,112.41156
United States,USA,2018,115.1573
United States,USA,2019,117.244194
United States,USA,2020,118.6905
United States,USA,2021,124.26641
United States,USA,2022,134.21121
