Year,rNTC,sum_peak_loads [TW],Investments [1995-USD]
1995,0.01,0.22072698899087806,11161624827.652782
1996,0.01235579425670333,0.2385100899987358,11382303040.42542
1997,0.01548023296390399,0.2554918936083319,11602981253.19806
1998,0.019343369533587534,0.2716969833330967,11823659465.9707
1999,0.023915257377739516,0.28714994268646465,12044337678.74334
2000,0.029165949908345496,0.3018753551818693,12265015891.515978
2001,0.03506550053739104,0.3158978043327453,12485694104.288616
2002,0.0415839626768617,0.32924187365252366,12706372317.061256
2003,0.04869138973874302,0.34193214665463995,12927050529.833897
2004,0.05635783513502058,0.35399320685252783,13147728742.606535
2005,0.06455335227767993,0.3654496377596202,13368406955.379173
2006,0.07324799457870661,0.3763260228893504,13589085168.151814
2007,0.0824118154500862,0.38664694575515257,13809763380.924454
2008,0.09201486830380425,0.39643698987046017,14030441593.697092
2009,0.10202720655184633,0.40572073874870634,14251119806.46973
2010,0.11241888360619795,0.4145227759033255,14471798019.24237
2011,0.12315995287884475,0.4228676848477505,14692476232.01501
2012,0.1342204677817722,0.43078004909541523,14913154444.78765
2013,0.14557048172696593,0.43828445215975304,15133832657.560287
2014,0.15718004812641145,0.4454054775541978,15354510870.332928
2015,0.16901922039209433,0.45216770879218315,15575189083.105568
2016,0.18105805193600014,0.45859572938714244,15795867295.878206
2017,0.19326659617011446,0.4647141228525092,16016545508.650845
2018,0.20561490650642275,0.47054747270171726,16237223721.423485
2019,0.21807303635691067,0.4761203624481999,16457901934.196125
2020,0.2306110391335638,0.4814573756053911,16678580146.968763
2021,0.24476229245384934,0.4865830956867241,16899258359.741402
2022,0.2616371007351515,0.4915221062056325,17119936572.514042
2023,0.2805709075893314,0.4962989906755503,17340614785.286682
2024,0.30089915662824984,0.5009383326099104,17561292998.05932
2025,0.321957291463768,0.505464715522147,17781971210.83196
2026,0.34308075570774665,0.5099027229256932,18002649423.6046
2027,0.36360499297204707,0.5142769383339828,18223327636.37724
2028,0.38286544686852986,0.5186119452604495,18444005849.14988
2029,0.4001975610090562,0.5229323272185268,18664684061.922516
2030,0.4149367790054871,0.5272626677216481,18885362274.695156
2031,0.4280400265655932,0.5316275502832473,19402700287.956398
2032,0.4408301983504401,0.5360515584167578,19920038301.217644
2033,0.45319169140183035,0.540559275635613,20437376314.478886
2034,0.465008902761567,0.5451752854532469,20954714327.74013
2035,0.47616622947145293,0.5499241713830927,21472052341.001373
2036,0.486548068573291,0.5548305169385841,21989390354.26262
2037,0.4960388171088841,0.5599189056331548,22506728367.52386
2038,0.504522872120035,0.5652139209802384,23024066380.785103
2039,0.5118846306485467,0.5707401464932681,23541404394.04635
2040,0.5180084897362219,0.576522165685678,24058742407.30759
2041,0.5234394037150983,0.5825845620709014,24334309914.744255
2042,0.5287375171375922,0.5889519191623718,24609877422.180916
2043,0.5338100123760745,0.595648820473523,24885444929.617577
2044,0.5385640718029163,0.6026998495177884,25161012437.05424
2045,0.5429068777904887,0.6101295898086019,25436579944.490906
2046,0.5467456127111628,0.6179626248593966,25712147451.927567
2047,0.5499874589373094,0.6262235381836065,25987714959.364227
2048,0.5525395988412999,0.6349369132946647,26263282466.80089
2049,0.5543092147955053,0.6441273337060054,26538849974.237556
2050,0.5552034891722964,0.6538193829310618,26814417481.674217
