,,2020,2030,2040,2050
generators,CCGT,161852.7664860159,0.0,0.0,0.0
generators,biomass,16745.058975999997,0.0,0.0,0.0
generators,coal,81830.23607335407,91371.21619046154,3608.1860620018942,125.4486694657641
generators,gas,1513997.9756329448,1513997.9756329448,1513997.9756329448,1513997.9756329448
generators,lignite,35217.09405682141,23162.903669106476,3262.911205075453,72.49308178605969
generators,nuclear,107903.09999999999,0.0,0.0,0.0
generators,offwind-ac,10229.024609805176,46643.74042377157,50609.42768510478,85331.3087555643
generators,offwind-dc,14771.32757185562,51903.54850314713,87751.00019080163,105582.79565267784
generators,oil,853479.867384706,10165130.97255656,283146.6588506076,119071.58366464757
generators,onwind,184038.26147285654,391478.2715811339,822153.4057737263,1042833.7547031356
generators,ror,44502.61354257102,44502.61354257102,44502.61354257102,44502.61354257102
generators,solar,152364.61415822024,430056.1602012265,799577.0939373486,1152583.5977476414
generators,solar rooftop,0.0,413982.52837759117,879536.235769361,1346204.2928610998
generators,solid biomass,320000.0,0.0,0.0,0.0
lines,AC,89496.21465011663,107265.93062496855,140441.9181198277,159726.39852977137
links,CCGT,0.0,275994.43462588405,211673.0145520776,70324.73616479653
links,DC,40982.0,147850.88774896052,215690.067641367,295891.95487644256
links,Fischer-Tropsch,0.10354385247826652,0.44535494470168724,15900.335072524467,24603.09631271579
links,H2 Electrolysis,0.0850088155139946,6967.025755820183,131028.13713356375,481747.5063689757
links,OCGT,0.0,7678.993045536231,92987.5410477377,92954.90697828005
links,SMR,14446.89038567209,63421.04216254599,132215.21274097988,132215.4439964964
links,agriculture machinery oil,10497.43235957587,10497.431460881045,10497.416467193709,10497.432157039753
links,battery charger,935.5888181266812,847.8934221595455,91230.30192286971,158333.1750562386
links,battery discharger,959.8938738508073,865.3776002307119,93111.53699630986,161598.12010110717
links,biogas to gas,0.0,0.3575528592428361,11.60817761037456,0.16003373951333005
links,co2 sequestered,0.4110420549142244,18245.851871799074,33319.47023028934,35518.47734739149
links,coal for industry,81799.53881275478,56435.026323274906,0.0,0.0
links,electricity distribution grid,402915.01259366213,384375.3109602532,470577.8763556507,487042.7076477592
links,gas for industry,135060.502283054,85559.23843672726,48376.227757955196,15292.952816415313
links,gas for industry CC,0.0,15401.729066573247,16042.636550675175,26149.180706972125
links,gas pipeline,231260.0888746155,159204.30083883397,92221.76512887582,143615.0549798843
links,gas pipeline new,41214.648018887034,60873.91309040089,77694.02164686617,77698.93201959325
links,home battery charger,445.569614238523,5.565392256870238,377.0896637059693,8650.707473986578
links,home battery discharger,457.144778555609,5.680154686571811,384.865526398994,8829.091343897404
links,kerosene for aviation,83569.311719239,83569.31061392576,83569.29417637049,83569.31145921543
links,land transport oil,817134.980471761,571994.4851107314,245140.475674343,0.0
links,naphtha for industry,122121.0045663311,93393.83450850272,62253.40731228174,35265.98155317256
links,process emissions,16736.240206784525,11306.13193447612,4152.245925592156,3239.5541511266856
links,process emissions CC,0.09403383465015122,4896.078260994005,11443.300749149399,12036.203640966594
links,residential rural air heat pump,0.0,0.5494147819602704,11.264916943665067,10.82896914348218
links,residential rural biomass boiler,18437.98643079072,6522.485292960245,7041.260213465539,7041.685453561855
links,residential rural gas boiler,64338.61963446239,105251.24797088062,78047.73876926942,78048.14332012071
links,residential rural ground heat pump,0.0,13465.399139291862,27589.032049828063,29986.04858029306
links,residential rural oil boiler,201121.26979642594,28123.604797647913,0.0,0.0
links,residential rural resistive heater,24782.970141771973,64331.70369144448,66153.3177813669,66166.34622594004
links,residential urban decentral air heat pump,0.0,28896.096887661504,58898.638661020064,53709.26520604548
links,residential urban decentral biomass boiler,34786.7789331926,30327.391817076783,35795.43778143127,39491.94777530728
links,residential urban decentral gas boiler,205305.66916957946,336649.06403208536,309012.2227918869,309426.2292554807
links,residential urban decentral oil boiler,559128.289741632,89012.63473794668,0.0,0.0
links,residential urban decentral resistive heater,70159.78811311007,167782.96070427448,174645.93962537326,176162.85382561205
links,services rural air heat pump,0.0,0.5668868774540414,11.357238416897875,10.90772855911118
links,services rural biomass boiler,15289.234762818052,1734.9612153375333,1951.5100820940952,1951.9870231006676
links,services rural gas boiler,41131.51973622745,40329.60488992213,29201.453937079903,29201.892520735324
links,services rural ground heat pump,0.0,11567.900024512022,17103.606147671562,17989.883223476754
links,services rural oil boiler,76441.28232469497,10496.369210037616,0.0,0.0
links,services rural resistive heater,8765.678152703684,25378.211011535233,24299.242781618606,24302.190600792426
links,services urban decentral air heat pump,0.0,11469.496660006347,23317.3215470489,21587.672291067818
links,services urban decentral biomass boiler,10251.608854863547,11981.223170616047,14842.92101299244,16265.460189239759
links,services urban decentral gas boiler,87910.74589573679,133913.805536851,121014.19088305635,121162.84797640234
links,services urban decentral oil boiler,231824.79856279976,35435.29448068818,0.0,0.0
links,services urban decentral resistive heater,28042.017091030808,71184.14564429593,70809.76291027067,71430.0816147645
links,shipping oil,62168.07149282251,43517.64908261136,18650.405573752225,0.0
links,solid biomass for industry,33476.0273972575,40902.0183832852,40898.94857368106,45852.50845683958
links,solid biomass for industry CC,0.0,6893.964305304834,27777.048705538135,37745.20565727712
links,urban central air heat pump,0.0,4162.625122493117,6938.623599020718,17183.095549604073
links,urban central gas CHP,15269.697025119043,7893.684319798393,104448.79117962343,123684.36544872659
links,urban central gas CHP CC,0.0,4981.418963818442,5006.245237052479,5006.596699644671
links,urban central gas boiler,127463.76570823132,90437.68569265236,101180.49541254537,129579.57973653467
links,urban central resistive heater,3.0455749435139596,24307.070704411362,168458.15937943224,195334.95480779553
links,urban central solid biomass CHP,55918.113695161344,86735.89140700955,64001.876645886055,55856.08737141044
links,urban central solid biomass CHP CC,0.0,8227.083029095822,15210.26041306355,16454.63580441725
storage_units,PHS,53480.073,53480.073,53480.073,53480.073
storage_units,hydro,95965.3571905376,95965.3571905376,95965.3571905376,95965.3571905376
stores,H2,2.0120198195808863,223166.04503566705,3864289.0994965476,19708776.853356533
stores,battery,18549.341888242136,5851.148542364127,725878.348841693,1158956.0057853956
stores,co2,2936741834.2954226,2249888876.596089,1151029791.7674298,508784533.65781087
stores,co2 sequestered,1194.3182701324918,129517067.5125729,215797618.53997904,247642234.0151655
stores,co2 stored,79.26632808503095,4629.190093406469,35149.44620103495,13141.167649352654
stores,coal,4256553688.1174097,3526877849.1417913,3885095119.788648,3228003191.0293527
stores,gas,1318068658.2233744,1249009630.5902827,1390283853.3187244,1248144654.6087232
stores,home battery,497.45203923585524,12.737759333197687,1972.8031301924257,56561.737879993816
