Year,Ratio
1995,2.0229148045741955e-16
1996,2.023229945983929e-16
1997,2.0235451855980776e-16
1998,1.4068048374202812e-14
1999,3.242104872963675e-14
2000,5.0779770924437156e-14
2001,6.914421763483265e-14
2002,8.75143915387211e-14
2003,1.0589029531567093e-13
2004,1.2427193164692233e-13
2005,1.426593032153888e-13
2006,1.6105241270565804e-13
2007,1.7945126280399368e-13
2008,1.978558561983364e-13
2009,2.16266195578305e-13
2010,2.346822836351986e-13
2011,2.5310412306199666e-13
2012,2.7153171655336114e-13
2013,2.899650668056378e-13
2014,3.084041765168571e-13
2015,3.2684904838673585e-13
2016,3.452996851166785e-13
2017,3.5728594338891897e-13
2018,3.675852899443013e-13
2019,3.7746658592906957e-13
2020,3.8695477806412015e-13
2021,3.960728668905481e-13
2022,4.0484209292426036e-13
2023,4.132821018445596e-13
2024,4.214110914208363e-13
2025,4.2924594249011925e-13
2026,4.3680233596945e-13
2027,4.440948576099227e-13
2028,4.511370919649038e-13
2029,4.579417068462081e-13
2030,4.645205293729433e-13
2031,4.606442828419375e-13
2032,4.569824443006677e-13
2033,4.53517703083758e-13
2034,4.502345631718491e-13
2035,4.4711911148142644e-13
2036,4.441588207747149e-13
2037,4.413423813015342e-13
2038,4.3865955640236806e-13
2039,4.361010581862342e-13
2040,4.3365844010103934e-13
2041,4.275325783511576e-13
2042,4.2157386589631196e-13
2043,4.1577555360058006e-13
2044,4.101312508569868e-13
2045,4.0463490209222594e-13
2046,3.9928076509512345e-13
2047,3.9406339100579543e-13
2048,3.889776058189034e-13
2049,3.840184932690153e-13
2050,3.7918137897907024e-13
